date,time,race,type,location
1/29/20,12:48:33,hispanic/latino(a),1 Moving,W 8TH ST
1/29/20,22:48:10,white,1 Moving,RUSSELL BL
1/29/20,14:43:29,asian,2 Equipment,RUSSELL BL
1/29/20,08:39:06,white,1 Moving,MONTGOMERY AV
1/29/20,10:53:40,white,1 Moving,E COVELL BL
1/29/20,10:22:49,white,1 Moving,E COVELL BL
1/29/20,10:41:41,white,1 Moving,E COVELL BL
1/30/20,08:47:47,white,2 Equipment,C ST
1/30/20,20:03:13,white,3 Non-Moving,MACE BL
1/30/20,10:38:06,white,1 Moving,SYCAMORE LN
1/30/20,00:05:04,white,1 Moving,E COVELL BL
1/30/20,20:03:13,white,3 Non-Moving,MACE BL
1/30/20,10:48:39,asian,1 Moving,SYCAMORE LN
1/30/20,09:35:04,hispanic/latino(a),1 Moving,W COVELL BL
1/30/20,17:26:57,hispanic/latino(a),2 Equipment,HWY 113 S
1/30/20,10:53:10,white,1 Moving,W 8TH ST
1/30/20,10:20:40,white,1 Moving,2ND ST
1/30/20,02:19:19,asian,1 Moving,COWELL BL
1/30/20,11:01:37,white,1 Moving,SYCAMORE LN
1/31/20,22:32:28,black/african american,1 Moving,ANDERSON RD
1/31/20,22:15:09,asian,1 Moving,W 14TH ST
1/31/20,16:21:49,black/african american,1 Moving,LOYOLA DR
1/31/20,17:05:13,middle eastern or south asian,1 Moving,ARROYO AV
1/31/20,00:47:45,asian,1 Moving,RUSSELL BL
1/31/20,06:27:07,white,1 Moving,1ST ST
1/31/20,17:23:17,white,1 Moving,MONARCH LN
1/31/20,13:55:32,white,1 Moving,E 8TH ST
1/31/20,02:05:54,hispanic/latino(a),1 Moving,OLIVE DR
2/1/20,21:43:57,white,1 Moving,2ND ST
2/1/20,21:36:09,hispanic/latino(a),1 Moving,5TH ST
2/1/20,21:02:15,hispanic/latino(a),1 Moving,ANDERSON RD
2/1/20,22:24:02,black/african american,1 Moving,I 80 W
2/1/20,15:36:52,asian,1 Moving,RICHARDS BL
2/1/20,20:07:29,asian,1 Moving,5TH ST
2/1/20,02:59:27,white,1 Moving,ANDERSON RD
2/1/20,01:32:28,white,1 Moving,W 8TH ST
2/1/20,21:08:01,asian,2 Equipment,COWELL BL
2/2/20,20:54:43,hispanic/latino(a),2 Equipment,MACE BL
2/2/20,20:36:59,white,2 Equipment,ANDERSON RD
2/2/20,21:44:31,white,2 Equipment,RICHARDS BL
2/2/20,23:30:34,white,1 Moving,E 8TH ST
2/2/20,20:52:45,white,2 Equipment,W 8TH ST
2/2/20,20:25:51,asian,2 Equipment,RUSSELL BL
2/2/20,22:07:43,white,2 Equipment,J ST
2/2/20,20:32:44,asian,2 Equipment,RUSSELL BL
2/2/20,15:38:15,white,1 Moving,COWELL BL
2/2/20,19:43:26,hispanic/latino(a),1 Moving,ANDERSON RD
2/2/20,01:03:56,hispanic/latino(a),3 Non-Moving,RUSSELL BL
2/2/20,20:43:47,hispanic/latino(a),2 Equipment,POLE LINE RD
2/2/20,23:50:00,mixed,1 Moving,W COVELL BL
2/2/20,19:34:31,white,2 Equipment,ANDERSON RD
2/2/20,21:03:39,black/african american,2 Equipment,5TH ST
2/3/20,03:37:09,white,1 Moving,I 80 E
2/3/20,08:56:38,white,1 Moving,COWELL BL
2/3/20,22:38:51,white,3 Non-Moving,I 80 W
2/3/20,12:02:43,black/african american,1 Moving,ANDERSON RD
2/3/20,17:40:56,white,2 Equipment,ALHAMBRA DR
2/3/20,03:24:06,black/african american,1 Moving,F ST
2/3/20,13:02:20,asian,1 Moving,VILLANOVA DR
2/3/20,12:39:51,white,1 Moving,ANDERSON RD
2/3/20,17:02:08,hispanic/latino(a),2 Equipment,I 80 E
2/3/20,04:47:08,white,1 Moving,W COVELL BL
2/3/20,17:50:44,white,2 Equipment,COWELL BL
2/3/20,17:15:43,white,2 Equipment,CHILES RD
2/4/20,03:17:15,white,1 Moving,COWELL BL
2/4/20,22:34:36,white,3 Non-Moving,L ST
2/4/20,09:35:16,white,1 Moving,W 8TH ST
2/4/20,09:47:21,white,1 Moving,W 8TH ST
2/4/20,11:13:09,black/african american,1 Moving,ANDERSON RD
2/4/20,16:01:16,hispanic/latino(a),3 Non-Moving,MACE BL
2/4/20,22:34:36,middle eastern or south asian,3 Non-Moving,L ST
2/4/20,10:51:24,white,1 Moving,ANDERSON RD
2/4/20,16:34:15,asian,1 Moving,MOORE BL
2/4/20,00:07:28,hispanic/latino(a),1 Moving,POLE LINE RD
2/4/20,09:08:12,white,1 Moving,W 8TH ST
2/4/20,16:54:25,black/african american,2 Equipment,POLE LINE RD
