,date,time,race,type,race perceived prior,experience,location,sunsettime,dusktime,mins_sunset,mins_dusk,mins_stop_time,mins_before_dusk,itp,dark
4641,2022-01-25 23:03:00,1900-01-01 23:03:00,white,"3_Non-moving violation, including registration",Yes,,Redwood Highway Frontage @ Reed Blvd,17:26:08,17:54:53,1046.0,1075.0,1383.0,-308.0,0,1
4642,2022-01-25 22:22:00,1900-01-01 22:22:00,white,1_Moving violation,No,0.0,Sb101 Marin City ,17:26:08,17:54:53,1046.0,1075.0,1342.0,-267.0,0,1
4645,2022-01-24 17:00:00,1900-01-01 17:00:00,black/african american,,Yes,1.0,400 calls de la mesa,17:25:01,17:53:50,1045.0,1074.0,1020.0,54.0,0,0
4650,2022-01-25 23:27:00,1900-01-01 23:27:00,hispanic/latino(a),2_Equipment violation,No,2.0,100 N San Pedro rd,17:26:08,17:54:53,1046.0,1075.0,1407.0,-332.0,0,1
4651,2022-01-25 23:50:00,1900-01-01 23:50:00,white,2_Equipment violation,No,2.0,100 Lucas Valley ,17:26:08,17:54:53,1046.0,1075.0,1430.0,-355.0,0,1
4655,2022-01-26 20:35:00,1900-01-01 20:35:00,hispanic/latino(a),2_Equipment violation,No,3.0,100 Shoreline Highway,17:27:16,17:55:57,1047.0,1076.0,1235.0,-159.0,1,1
4656,2022-01-26 21:52:00,1900-01-01 21:52:00,black/african american,1_Moving violation,No,15.0,Miller Ave/Camino Alto,17:27:16,17:55:57,1047.0,1076.0,1312.0,-236.0,0,1
4657,2022-01-26 22:08:00,1900-01-01 22:08:00,hispanic/latino(a),,No,3.0,100 Strawberry Village,17:27:16,17:55:57,1047.0,1076.0,1328.0,-252.0,0,1
4658,2022-01-26 19:23:00,1900-01-01 19:23:00,hispanic/latino(a),1_Moving violation,No,,150 Shoreline Highway,17:27:16,17:55:57,1047.0,1076.0,1163.0,-87.0,1,1
4659,2022-01-26 19:23:00,1900-01-01 19:23:00,white,1_Moving violation,No,,150 Shoreline Highway,17:27:16,17:55:57,1047.0,1076.0,1163.0,-87.0,1,1
4660,2022-01-26 19:23:00,1900-01-01 19:23:00,hispanic/latino(a),1_Moving violation,No,,150 Shoreline Highway,17:27:16,17:55:57,1047.0,1076.0,1163.0,-87.0,1,1
4662,2022-01-26 22:03:00,1900-01-01 22:03:00,white,2_Equipment violation,No,2.0,Panera way at Adrian Way,17:27:16,17:55:57,1047.0,1076.0,1323.0,-247.0,0,1
4663,2022-01-26 22:08:00,1900-01-01 22:08:00,hispanic/latino(a),2_Equipment violation,Yes,2.0,Adrian Way at Labrea way,17:27:16,17:55:57,1047.0,1076.0,1328.0,-252.0,0,1
4664,2022-01-26 22:45:00,1900-01-01 22:45:00,hispanic/latino(a),2_Equipment violation,No,2.0,200 N San Pedro road ,17:27:16,17:55:57,1047.0,1076.0,1365.0,-289.0,0,1
4673,2022-01-27 15:05:00,1900-01-01 15:05:00,hispanic/latino(a),2_Equipment violation,No,2.0,100Atherton Avenue,17:28:23,17:57:00,1048.0,1077.0,905.0,172.0,0,0
