date,time,race,type,race perceived prior,experience,location,sunsettime,dusktime,mins_sunset,mins_dusk,mins_stop_time,mins_before_dusk,itp,dark,neighborhood,zip,coords,gmap address
,,,,,,,,,,,,,,,Larkspur,94939,"37.9453648, -122.5075753","Larkspur Landing Cir & E Sir Francis Drake Blvd, Larkspur, CA 94939, USA"
,,,,,,,,,,,,,,,Kentfield,94904,"37.9535877, -122.5406812","Sir Francis Drake Blvd & Laurel Grove Ave, Kentfield, CA 94904, USA"
,,,,,,,,,,,,,,,Marin County,94973,"38.01270770000001, -122.6301871","Sir Francis Drake Blvd & San Geronimo Valley Dr, California 94973, USA"
,,,,,,,,,,,,,,,Marin County,94930,"37.9671007, -122.5903147","Six Points Trail, California 94930, USA"
,,,,,,,,,,,,,,,San Rafael,94903,"38.018645, -122.5263132","Smith Ranch Rd & Silveira Pkwy, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,San Rafael,94903,"38.018645, -122.5263132","Smith Ranch Rd & Silveira Pkwy, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,San Rafael,94903,"38.0193909, -122.5311264","Deer Valley Rd & Smith Ranch Rd, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,Marin County,94965,"37.868538, -122.5091404","Marin City, CA 94965, USA"
,,,,,,,,,,,,,,,Miller Avenue,94941,"37.891435, -122.529702","700 Miller Ave, Mill Valley, CA 94941, USA"
,,,,,,,,,,,,,,,Shoreline Highway,94941,"37.8817976, -122.5251212","251 Shoreline Hwy, Mill Valley, CA 94941, USA"
,,,,,,,,,,,,,,,Shoreline Highway,94941,"37.8817976, -122.5251212","251 Shoreline Hwy, Mill Valley, CA 94941, USA"
,,,,,,,,,,,,,,,Marin County,94965,"37.8715616, -122.5106455","Donahue St & Terners Dr, California 94965, USA"
,,,,,,,,,,,,,,,Marin County,94965,"37.86971860000001, -122.5113941","Terrace Dr & Terners Dr, California 94965, USA"
,,,,,,,,,,,,,,,Strawberry,94941,"37.9028052, -122.5171796","E Blithedale Ave & Tiburon Blvd, Strawberry, CA 94941, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Strawberry,94941,"37.9023905, -122.5121629","S Knoll Rd & Tiburon Blvd, Strawberry, CA 94941, USA"
,,,,,,,,,,,,,,,Strawberry,94941,"37.9023905, -122.5121629","S Knoll Rd & Tiburon Blvd, Strawberry, CA 94941, USA"
,,,,,,,,,,,,,,,Belvedere Tiburon,94941,"37.8986175, -122.50136","Greenwood Cove Dr & Tiburon Blvd, Tiburon, CA 94941, USA"
,,,,,,,,,,,,,,,Strawberry,94941,"37.89922079999999, -122.5047123","Bay Vista Dr & Tiburon Blvd, Strawberry, CA 94941, USA"
,,,,,,,,,,,,,,,Belvedere Tiburon,94941,"37.8986175, -122.50136","Greenwood Cove Dr & Tiburon Blvd, Tiburon, CA 94941, USA"
,,,,,,,,,,,,,,,Strawberry,94941,"37.9023905, -122.5121629","S Knoll Rd & Tiburon Blvd, Strawberry, CA 94941, USA"
,,,,,,,,,,,,,,,Belvedere Tiburon,94941,"37.8986175, -122.50136","Greenwood Cove Dr & Tiburon Blvd, Tiburon, CA 94941, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Santa Venetia,94903,"38.0132123, -122.5177131","Vendola Dr, Santa Venetia, CA 94903, USA"
,,,,,,,,,,,,,,,United States,94920,"36.778261, -119.4179324","California, USA"
,,,,,,,,,,,,,,,United States,94920,"36.778261, -119.4179324","California, USA"
,,,,,,,,,,,,,,,United States,94920,"36.778261, -119.4179324","California, USA"
,,,,,,,,,,,,,,,,94939,,
,,,,,,,,,,,,,,,Kentfield,94904,"37.9562066, -122.5362718","Wolfe Grade & Wolfe Glen Way, Kentfield, CA 94904, USA"
,,,,,,,,,,,,,,,Marin County,94920,"37.9570896, -122.5357372","Wolfe Grade, California, USA"
,,,,,,,,,,,,,,,San Rafael,94901,"37.96198649999999, -122.5153254","Woodland Ave & Culver St, San Rafael, CA 94901, USA"
,,,,,,,,,,,,,,,Marin County,94901,"37.9575606, -122.5096168","Auburn St & Woodland Ave, California 94901, USA"
,,,,,,,,,,,,,,,Marin County,94901,"37.9575606, -122.5096168","Auburn St & Woodland Ave, California 94901, USA"
,,,,,,,,,,,,,,,Marin County,94901,"37.9575606, -122.5096168","Auburn St & Woodland Ave, California 94901, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
