date,time,race,type,race perceived prior,experience,location,sunsettime,dusktime,mins_sunset,mins_dusk,mins_stop_time,mins_before_dusk,itp,dark
2020-10-07 05:41:00,1900-01-01 05:41:00,white,,,11.0,800 Donahue Street,18:43:43,19:10:33,1124.0,1151.0,341.0,810.0,0,0
2020-10-08 00:12:00,1900-01-01 00:12:00,black/african american,1_Moving violation,,0.0,Atherton Ave/Olive Ave,18:42:14,19:09:05,1122.0,1149.0,12.0,1137.0,0,0
2020-10-08 00:51:00,1900-01-01 00:51:00,white,2_Equipment violation,,0.0,SB Highway 101/ Freitas Parkway,18:42:14,19:09:05,1122.0,1149.0,51.0,1098.0,0,0
2020-10-08 08:55:00,1900-01-01 08:55:00,middle eastern or south asian,"3_Non-moving violation, including registration",,1.0,US101S/Marin City,18:42:14,19:09:05,1122.0,1149.0,535.0,614.0,0,0
2020-10-07 14:12:00,1900-01-01 14:12:00,white,1_Moving violation,,35.0,100 Woodland ,18:43:43,19:10:33,1124.0,1151.0,852.0,299.0,0,0
2020-10-08 09:19:00,1900-01-01 09:19:00,white,"3_Non-moving violation, including registration",,,Point San Pedro/Mooring,18:42:14,19:09:05,1122.0,1149.0,559.0,590.0,0,0
2020-10-08 13:45:00,1900-01-01 13:45:00,hispanic/latino(a),"3_Non-moving violation, including registration",,17.0,100 Belvedere Dr,18:42:14,19:09:05,1122.0,1149.0,825.0,324.0,0,0
2020-10-08 14:04:00,1900-01-01 14:04:00,white,"3_Non-moving violation, including registration",,17.0,1 de Silva island ,18:42:14,19:09:05,1122.0,1149.0,844.0,305.0,0,0
2020-10-08 16:32:00,1900-01-01 16:32:00,white,1_Moving violation,,17.0,600 Redwood Hwy Frontage ,18:42:14,19:09:05,1122.0,1149.0,992.0,157.0,0,0
2020-10-08 14:13:00,1900-01-01 14:13:00,white,1_Moving violation,,,Circle Rd/Los Ranchitos Rd,18:42:14,19:09:05,1122.0,1149.0,853.0,296.0,0,0
2020-10-08 17:03:00,1900-01-01 17:03:00,white,,,1.0,100 Donahue St,18:42:14,19:09:05,1122.0,1149.0,1023.0,126.0,0,0
2020-10-08 22:15:00,1900-01-01 22:15:00,white,"3_Non-moving violation, including registration",,,Olema hill,18:42:14,19:09:05,1122.0,1149.0,1335.0,-186.0,0,1
2020-10-08 22:09:00,1900-01-01 22:09:00,white,2_Equipment violation,,3.0,Hwy 101 at Miller Creek,18:42:14,19:09:05,1122.0,1149.0,1329.0,-180.0,0,1
2020-10-08 22:05:00,1900-01-01 22:05:00,white,2_Equipment violation,,,700 Center,18:42:14,19:09:05,1122.0,1149.0,1325.0,-176.0,0,1
2020-10-08 20:37:00,1900-01-01 20:37:00,white,,,1.0,300 Strawberry Village,18:42:14,19:09:05,1122.0,1149.0,1237.0,-88.0,1,1
2020-10-09 00:13:00,1900-01-01 00:13:00,white,"3_Non-moving violation, including registration",,4.0,3200 Sir Francis Drake Boulevard,18:40:45,19:07:38,1121.0,1148.0,13.0,1135.0,0,0
2020-10-09 00:52:00,1900-01-01 00:52:00,white,,,3.0,Miller Creek at Marinwood,18:40:45,19:07:38,1121.0,1148.0,52.0,1096.0,0,0
2020-10-08 23:23:00,1900-01-01 23:23:00,white,2_Equipment violation,,3.0,Highway 101 at Lucas Valley,18:42:14,19:09:05,1122.0,1149.0,1403.0,-254.0,0,1
2020-10-08 21:10:00,1900-01-01 21:10:00,white,2_Equipment violation,,5.0,North bound 101 @ paradise dr,18:42:14,19:09:05,1122.0,1149.0,1270.0,-121.0,1,1
2020-10-08 21:31:00,1900-01-01 21:31:00,white,2_Equipment violation,,5.0,North bound 101 @ paradise dr,18:42:14,19:09:05,1122.0,1149.0,1291.0,-142.0,0,1
2020-10-08 21:33:00,1900-01-01 21:33:00,white,2_Equipment violation,,5.0,North bound 101 @ paradise dr,18:42:14,19:09:05,1122.0,1149.0,1293.0,-144.0,0,1
2020-10-09 03:17:00,1900-01-01 03:17:00,white,1_Moving violation,,4.0,Sir Francis Drake at Castro,18:40:45,19:07:38,1121.0,1148.0,197.0,951.0,0,0
2020-10-09 12:45:00,1900-01-01 12:45:00,black/african american,,,,Drake Ave/Cole Drive,18:40:45,19:07:38,1121.0,1148.0,765.0,383.0,0,0
2020-10-09 20:05:00,1900-01-01 20:05:00,hispanic/latino(a),2_Equipment violation,,6.0,100 E Sir Francis Drake,18:40:45,19:07:38,1121.0,1148.0,1205.0,-57.0,1,1
2020-10-09 20:24:00,1900-01-01 20:24:00,white,2_Equipment violation,,6.0,100 Altena St,18:40:45,19:07:38,1121.0,1148.0,1224.0,-76.0,1,1
2020-10-09 21:15:00,1900-01-01 21:15:00,black/african american,2_Equipment violation,,3.0,Civic Center Dr at N San Pedro Rd,18:40:45,19:07:38,1121.0,1148.0,1275.0,-127.0,0,1
2020-10-09 22:37:00,1900-01-01 22:37:00,white,2_Equipment violation,,6.0,1000 Ander00n Dr,18:40:45,19:07:38,1121.0,1148.0,1357.0,-209.0,0,1
2020-10-09 20:12:00,1900-01-01 20:12:00,hispanic/latino(a),1_Moving violation,,4.0,Bretano way at via la cumbre ,18:40:45,19:07:38,1121.0,1148.0,1212.0,-64.0,1,1
2020-10-09 21:07:00,1900-01-01 21:07:00,white,"3_Non-moving violation, including registration",,4.0,Sir Francis drake at college,18:40:45,19:07:38,1121.0,1148.0,1267.0,-119.0,1,1
2020-10-09 22:32:00,1900-01-01 22:32:00,hispanic/latino(a),2_Equipment violation,,4.0,E sir Francis drake at larkspur landing circle,18:40:45,19:07:38,1121.0,1148.0,1352.0,-204.0,0,1
2020-10-09 23:12:00,1900-01-01 23:12:00,black/african american,1_Moving violation,,6.0,250 Bon Air,18:40:45,19:07:38,1121.0,1148.0,1392.0,-244.0,0,1
2020-10-09 22:45:00,1900-01-01 22:45:00,white,2_Equipment violation,,4.0,Sb101/sir Francis drake,18:40:45,19:07:38,1121.0,1148.0,1365.0,-217.0,0,1
2020-10-09 23:34:00,1900-01-01 23:34:00,white,2_Equipment violation,,3.0,Miller at Almonte ,18:40:45,19:07:38,1121.0,1148.0,1414.0,-266.0,0,1
2020-10-10 00:19:00,1900-01-01 00:19:00,black/african american,"3_Non-moving violation, including registration",,4.0,E sir Francis drake/larkspur landing,18:39:18,19:06:12,1119.0,1146.0,19.0,1127.0,0,0
2020-10-10 00:19:00,1900-01-01 00:19:00,black/african american,"3_Non-moving violation, including registration",,4.0,E sir Francis drake/larkspur landing,18:39:18,19:06:12,1119.0,1146.0,19.0,1127.0,0,0
2020-10-10 10:14:00,1900-01-01 10:14:00,white,"3_Non-moving violation, including registration",,4.0,EB CA 37/ Marsh Drive ,18:39:18,19:06:12,1119.0,1146.0,614.0,532.0,0,0
2020-10-10 19:30:00,1900-01-01 19:30:00,hispanic/latino(a),2_Equipment violation,,3.0,N San Pedro Rd at Golf Ave,18:39:18,19:06:12,1119.0,1146.0,1170.0,-24.0,1,1
2020-10-10 19:43:00,1900-01-01 19:43:00,hispanic/latino(a),1_Moving violation,,3.0,N San Pedro Rd at Northview Ct,18:39:18,19:06:12,1119.0,1146.0,1183.0,-37.0,1,1
2020-10-10 20:16:00,1900-01-01 20:16:00,asian,2_Equipment violation,,6.0,100 Sir Francis Drake,18:39:18,19:06:12,1119.0,1146.0,1216.0,-70.0,1,1
2020-10-10 20:38:00,1900-01-01 20:38:00,white,1_Moving violation,,3.0,Los Ranchitos rd and Circle Rd,18:39:18,19:06:12,1119.0,1146.0,1238.0,-92.0,1,1
2020-10-10 20:54:00,1900-01-01 20:54:00,hispanic/latino(a),1_Moving violation,,3.0,Hwy 101 at Marinwood,18:39:18,19:06:12,1119.0,1146.0,1254.0,-108.0,1,1
2020-10-11 01:19:00,1900-01-01 01:19:00,asian,1_Moving violation,,14.0,SB 101 @ Marin City offramp,18:37:51,19:04:47,1118.0,1145.0,79.0,1066.0,0,0
2020-10-10 23:14:00,1900-01-01 23:14:00,white,1_Moving violation,,5.0,Hwy 101 at Lucas Valley ,18:39:18,19:06:12,1119.0,1146.0,1394.0,-248.0,0,1
2020-10-11 00:03:00,1900-01-01 00:03:00,black/african american,2_Equipment violation,,3.0,N San Pedro Rd at Garden Ave,18:37:51,19:04:47,1118.0,1145.0,3.0,1142.0,0,0
2020-10-10 22:45:00,1900-01-01 22:45:00,black/african american,,,1.0,1 Terners Drive,18:39:18,19:06:12,1119.0,1146.0,1365.0,-219.0,0,1
2020-10-10 23:06:00,1900-01-01 23:06:00,white,2_Equipment violation,,1.0,800 Redwood Highway Frontage Road,18:39:18,19:06:12,1119.0,1146.0,1386.0,-240.0,0,1
2020-10-10 23:46:00,1900-01-01 23:46:00,white,"3_Non-moving violation, including registration",,4.0,101 north/580 east,18:39:18,19:06:12,1119.0,1146.0,1426.0,-280.0,0,1
2020-10-11 14:24:00,1900-01-01 14:24:00,white,"3_Non-moving violation, including registration",,,NB 101 passed 131 ,18:37:51,19:04:47,1118.0,1145.0,864.0,281.0,0,0
2020-10-11 20:15:00,1900-01-01 20:15:00,black/african american,,,11.0,90 Cole dr,18:37:51,19:04:47,1118.0,1145.0,1215.0,-70.0,1,1
